total_bill,tip,sex,smoker,day,time,size,tip_prct,bill_bin,date,Weekday
16.99,1.01,Female,No,Sun,Dinner,2,5.9446733372572105,Medium,2023-01-01,Sunday
10.34,1.66,Male,No,Sun,Dinner,3,16.054158607350097,Medium,2023-01-02,Monday
21.01,3.5,Male,No,Sun,Dinner,3,16.658733936220845,High,2023-01-03,Tuesday
23.68,3.31,Male,No,Sun,Dinner,2,13.97804054054054,High,2023-01-04,Wednesday
24.59,3.61,Female,No,Sun,Dinner,4,14.680764538430255,High,2023-01-05,Thursday
25.29,4.71,Male,No,Sun,Dinner,4,18.62396204033215,High,2023-01-06,Friday
8.77,2.0,Male,No,Sun,Dinner,2,22.80501710376283,Low,2023-01-07,Saturday
26.88,3.12,Male,No,Sun,Dinner,4,11.607142857142858,High,2023-01-08,Sunday
15.04,1.96,Male,No,Sun,Dinner,2,13.031914893617023,Medium,2023-01-09,Monday
14.78,3.23,Male,No,Sun,Dinner,2,21.853856562922868,Medium,2023-01-10,Tuesday
10.27,1.71,Male,No,Sun,Dinner,2,16.65043816942551,Medium,2023-01-11,Wednesday
35.26,5.0,Female,No,Sun,Dinner,4,14.180374361883155,High,2023-01-12,Thursday
15.42,1.57,Male,No,Sun,Dinner,2,10.181582360570687,Medium,2023-01-13,Friday
18.43,3.0,Male,No,Sun,Dinner,4,16.277807921866522,Medium,2023-01-14,Saturday
14.83,3.02,Female,No,Sun,Dinner,2,20.364126770060686,Medium,2023-01-15,Sunday
21.58,3.92,Male,No,Sun,Dinner,2,18.164967562557923,High,2023-01-16,Monday
10.33,1.67,Female,No,Sun,Dinner,3,16.16650532429816,Medium,2023-01-17,Tuesday
16.29,3.71,Male,No,Sun,Dinner,3,22.774708410067525,Medium,2023-01-18,Wednesday
16.97,3.5,Female,No,Sun,Dinner,3,20.624631703005306,Medium,2023-01-19,Thursday
20.65,3.35,Male,No,Sat,Dinner,3,16.222760290556902,High,2023-01-20,Friday
17.92,4.08,Male,No,Sat,Dinner,2,22.767857142857142,Medium,2023-01-21,Saturday
20.29,2.75,Female,No,Sat,Dinner,2,13.553474618038445,High,2023-01-22,Sunday
15.77,2.23,Female,No,Sat,Dinner,2,14.140773620798985,Medium,2023-01-23,Monday
39.42,7.58,Male,No,Sat,Dinner,4,19.228817858954844,High,2023-01-24,Tuesday
